uid,species,gene_names,description,term_ids,gene_display_name,color
7118,ath,EMB2642,embryo defective; terminal embryo phenotype: zygotic stage.,GO:0008150|GO:0003674|GO:0005575,EMB2642,#DAF7A6
6034,ath,EMB1188,embryo defective; further details not available.,GO:0008150|GO:0003674|GO:0005575,EMB1188,#DAF7A6
1913,ath,At4g22260|IM|AT4G22260|IM1|PTOX|IMMUTANS|plastid terminal oxidase|T10I14.90|T10I14_90,"Seedling lethal (inferred from pigment defect). green and white variegated, light sensitive; delayed flowering (ca. 4x). green and white variegated, light-sensitive. lacks the immutants protein.",GO:0009657|GO:0016117|GO:0009579|PO:0009001|PO:0009005|PO:0009025|PO:0009046|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At4g22260,#DAF7A6
850,ath,At5g63420|EMB2746,Embryo defective-Globular.,,At5g63420,#DAF7A6
3931,ath,AT1G05690|BT3|BTB and TAZ domain protein 3|F3F20.14|F3F20_14,Reduced seed set and shortened siliques. Phenotype is identical to bt2-3/+;bt3-1/+. Embryo lethal - not recovered. same as smb-3 single mutant. Double homozygotes are embryo lethal.  Double heterozygotes have short siliques and a reduced seed set.,GO:0009723|GO:0009651|GO:0005516|GO:0009409|GO:0042542|GO:0009553|GO:0009555|GO:0009751|PO:0000013|PO:0000230|PO:0008019|PO:0009006|PO:0009025|PO:0009029|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0020030|PO:0020100|PO:0020137|PO:0025022|PO:0000084|PO:0000293|PO:0001054|PO:0007064|PO:0007095|PO:0007098|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT1G05690,#DAF7A6
4785,ath,AT3G11840|PUB24|plant U-box 24|F26K24.13,"This triple mutant does not exhibit any obvious constitutive defense signaling phenotypes and it has normal fertility compared to wild-type plants. However, it has an enhanced relative oxidative burst compared to wild type plants in response to flg22, chitin, and the conserved elf18 epitope from a bacterial transcription factor. MPK3 transcripts remain elevated for longer in the mutant than in wild-type seedlings, though the MPK3 protein does not appear to have altered protein stability in this triple mutant.When challenged with the bacterial pathogen Pst, the triple mutant allows ~30 times less bacterial growth than wild-type plants. It is also less susceptible to a biotrophic oomycete.",GO:0002679|GO:0051865|GO:0010200|GO:0006952|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009009|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000035|PO:0006070|PO:0000293|PO:0001054|PO:0001078|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT3G11840,#DAF7A6
3970,ath,AT1G09575|MCU1|MItochondrial Calcium Uptake1,Reduced root length and abnormal mitochondria.,PO:0000037|PO:0009005|PO:0009009|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025195|PO:0025281|PO:0000293|PO:0001185|PO:0007064|PO:0007095|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001017,AT1G09575,#DAF7A6
5463,ath,AT5G11760|AT5G11760.1|T22P22.150|T22P22_150,Small rosettes; pointy leaves; numerous lateral inflorescences; reduced fertility; short siliques; short and bushy plants.,GO:0003674|GO:0008150|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT5G11760,#DAF7A6
4539,ath,AT2G30250|WRKY25|ATWRKY25|WRKY DNA-binding protein 25|T9D9.6|T9D9_6,"WT phenotype.  Root bending and root elongation assays under salt, osmotic and ABA treatments showed no significant difference compared to WT. . Double mutant roots were significantly shorter than WT toots when under salt-stress.",GO:0070370|GO:0005634|GO:0009651|GO:0005515|GO:0034605|GO:0006970|GO:0009409|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT2G30250,#DAF7A6
524,ath,At4g35450|ARK2A,Curled rosette leaves. Dwarf. Late flowering. Small rosette leaves.,,At4g35450,#DAF7A6
